RESULTADOS ACADÉMICOS 2014-2015 - ENSEÑANZAS DE RÉGIMEN GENERAL
2. Alumnado que promociona E. Primaria    por sexo; comunidad autónoma/provincia; ciclo y titularidad del centro.
Unidades: Número de alumnos


,Primer ciclo,,,Segundo ciclo,,,Tercer ciclo,,,
,TODOS LOS CENTROS,CENTROS PÚBLICOS,CENTROS PRIVADOS,TODOS LOS CENTROS,CENTROS PÚBLICOS,CENTROS PRIVADOS,TODOS LOS CENTROS,CENTROS PÚBLICOS,CENTROS PRIVADOS,
AMBOS SEXOS,"","","","","","","","","",
   ANDALUCÍA,"95657.0","74490.0","21167.0","93879.0","72573.0","21306.0","89959.0","68659.0","21300.0",
   ARAGÓN,"12828.0","8912.0","3916.0","12310.0","8410.0","3900.0","11928.0","8075.0","3853.0",
   ASTURIAS (Principado de),"7901.0","5523.0","2378.0","7832.0","5422.0","2410.0","7608.0","5150.0","2458.0",
   BALEARS (Illes),"11089.0","6986.0","4103.0","10739.0","6640.0","4099.0","10441.0","6299.0","4142.0",
   CANARIAS ,"20357.0","15000.0","5357.0","20572.0","15199.0","5373.0","20501.0","15301.0","5200.0",
   CANTABRIA,"5402.0","3716.0","1686.0","5451.0","3630.0","1821.0","5138.0","3343.0","1795.0",
   CASTILLA Y LEÓN,"20375.0","13426.0","6949.0","20467.0","13528.0","6939.0","20267.0","13327.0","6940.0",
   CASTILLA-LA MANCHA,"21435.0","17317.0","4118.0","20976.0","16996.0","3980.0","20685.0","16773.0","3912.0",
   CATALUÑA,"79850.0","53834.0","26016.0","78354.0","52179.0","26175.0","74078.0","48556.0","25522.0",
   COMUNITAT VALENCIANA ,"53304.0","37253.0","16051.0","51135.0","35131.0","16004.0","51215.0","34868.0","16347.0",
   EXTREMADURA,"10466.0","8123.0","2343.0","10474.0","8065.0","2409.0","10492.0","8150.0","2342.0",
   GALICIA,"21998.0","15368.0","6630.0","22038.0","15319.0","6719.0","21720.0","15058.0","6662.0",
   MADRID (Comunidad de) ,"68146.0","36668.0","31478.0","66056.0","35031.0","31025.0","64094.0","33683.0","30411.0",
   MURCIA (Región de),"17839.0","12460.0","5379.0","17212.0","11869.0","5343.0","16641.0","11504.0","5137.0",
   NAVARRA (Comunidad Foral de),"6575.0","4146.0","2429.0","6354.0","3883.0","2471.0","6517.0","4084.0","2433.0",
   PAÍS VASCO,"21004.0","10871.0","10133.0","20574.0","10316.0","10258.0","20158.0","10050.0","10108.0",
